Distance,Temperature,Pressure,Speed,Density (kg/m^3),Mass Fraction (H2),Mass Fraction (O),Mass Fraction (O2),Mass Fraction (OH),Mass Fraction (H2O),Mass Fraction (AR),Mole Fraction (H2),Mole Fraction (O),Mole Fraction (O2),Mole Fraction (OH),Mole Fraction (H2O),Mole Fraction (AR)
7.154357596033918e-08,3372.2007687334217,302999.99998941197,0.011625895506433843,161.88688546928233,0.02200151405906336,0.05011801643253824,0.11177677101046696,0.14363317960752123,0.5655458878699642,0.09981261711430331,0.02200151405906336,0.05011801643253824,0.11177677101046696,0.14363317960752123,0.5655458878699642,0.09981261711430331
7.208569958617733e-08,3372.323850864995,302999.99998941127,0.01162618815421197,161.88281054483858,0.022000998833765426,0.050114010218352156,0.11177019330288947,0.1436349477530147,0.5655558967619835,0.09981261711430332,0.022000998833765426,0.050114010218352156,0.11177019330288947,0.1436349477530147,0.5655558967619835,0.09981261711430332
7.262782321201547e-08,3372.4394279781027,302999.9999894111,0.011626462948956045,161.87898439863375,0.02200051493113872,0.05011024842147198,0.1117640163390353,0.14363660754806032,0.5655652961405699,0.09981261711430332,0.02200051493113872,0.05011024842147198,0.1117640163390353,0.14363660754806032,0.5655652961405699,0.09981261711430332
7.316994683785361e-08,3372.547956047789,302999.9999894104,0.011626720976370287,161.87539187950594,0.022000060459204288,0.050106716176099866,0.11175821581081789,0.14363816563935794,0.5655741229443574,0.09981261711430331,0.022000060459204288,0.050106716176099866,0.11175821581081789,0.14363816563935794,0.5655741229443574,0.09981261711430331
7.371207046369176e-08,3372.6498635319463,302999.99998941,0.011626963256516024,161.87201875495458,0.021999633638854467,0.050103399515431364,0.11175276887250375,0.14363962826487875,0.5655824118938082,0.09981261711430332,0.021999633638854467,0.050103399515431364,0.11175276887250375,0.14363962826487875,0.5655824118938082,0.09981261711430332
7.42541940895299e-08,3372.745553054024,302999.99998940947,0.011627190747841385,161.86885165445912,0.02199923279710249,0.05010028531645945,0.11174765405182421,0.14364100127975354,0.5655901956255692,0.09981261711430332,0.02199923279710249,0.05010028531645945,0.11174765405182421,0.14364100127975354,0.5655901956255692,0.09981261711430332
7.479631771536804e-08,3372.835402927632,302999.9999894092,0.011627404350829167,161.86587801815355,0.021998856360953424,0.05009736124999571,0.11174285116935018,0.14364229017968713,0.5655975048143137,0.09981261711430332,0.021998856360953424,0.05009736124999571,0.11174285116935018,0.14364229017968713,0.5655975048143137,0.09981261711430332
7.533844134120619e-08,3372.919768460515,302999.99998940877,0.011627604911122066,161.86308605290697,0.021998502852161313,0.05009461573792384,0.1117383412695162,0.14364350012099575,0.5656043682769591,0.09981261711430332,0.021998502852161313,0.05009461573792384,0.1117383412695162,0.14364350012099575,0.5656043682769591,0.09981261711430332
7.588056496704433e-08,3372.9989835570727,302999.99998940853,0.01162779322334941,161.86046467861428,0.021998170880753332,0.050092037900701804,0.11173410653584653,0.14364463594492324,0.5656108131010347,0.09981261711430332,0.021998170880753332,0.050092037900701804,0.11173410653584653,0.14364463594492324,0.5656108131010347,0.09981261711430332
7.642268859288247e-08,3373.0733619703205,302999.99998940824,0.011627970034112898,161.85800348616914,0.02199785913993439,0.05008961751638829,0.11173013022464953,0.1436457021963762,0.5656168647452819,0.09981261711430335,0.02199785913993439,0.05008961751638829,0.11173013022464953,0.1436457021963762,0.5656168647452819,0.09981261711430335
7.696481221872062e-08,3373.143198433124,302999.99998940784,0.01162813604469741,161.85569269950744,0.02199756640150166,0.05008734498361778,0.11172639660501787,0.14364670314113334,0.5656225471303652,0.09981261711430335,0.02199756640150166,0.05008734498361778,0.11172639660501787,0.14364670314113334,0.5656225471303652,0.09981261711430335
7.750693584455876e-08,3373.2087697405327,302999.99998940754,0.011628291913662193,161.85352313933595,0.02199729151146658,0.05008521128616506,0.11172289090142642,0.14364764278238443,0.5656278827255871,0.09981261711430332,0.02199729151146658,0.05008521128616506,0.11172289090142642,0.14364764278238443,0.5656278827255871,0.09981261711430332
7.859118309623506e-08,3373.3281409255374,302999.99998940696,0.01162857566292363,161.8495737461567,0.021996791004936355,0.05008132704397774,0.11171650857027052,0.14364935295109083,0.5656375966939766,0.09981261711430332,0.021996791004936355,0.05008132704397774,0.11171650857027052,0.14364935295109083,0.5656375966939766,0.09981261711430332
7.967543034791136e-08,3373.433371277576,302999.99998940655,0.01162882579157088,161.84609246490098,0.021996349708615373,0.05007790304998526,0.11171088200555926,0.14365086007307698,0.5656461606097478,0.09981261711430332,0.021996349708615373,0.05007790304998526,0.11171088200555926,0.14365086007307698,0.5656461606097478,0.09981261711430332
8.065125287442002e-08,3373.517374896198,302999.9999894062,0.011629025460091803,161.84331359338586,0.021995997375179897,0.050075169811814126,0.11170639021800233,0.14365206287481416,0.5656529974928907,0.09981261711430335,0.021995997375179897,0.050075169811814126,0.11170639021800233,0.14365206287481416,0.5656529974928907,0.09981261711430335
8.162707540092869e-08,3373.5923638893314,302999.99998940586,0.011629203697987589,161.84083306162157,0.021995682810956537,0.050072729942814524,0.11170238030788862,0.143653136369807,0.5656591010341093,0.09981261711430332,0.021995682810956537,0.050072729942814524,0.11170238030788862,0.143653136369807,0.5656591010341093,0.09981261711430332
8.260289792743735e-08,3373.6593045686136,302999.9999894056,0.011629362803242385,161.8386188625039,0.021995401975547346,0.05007055198371969,0.11169880065056566,0.14365409446609995,0.5656645497739926,0.09981261711430335,0.021995401975547346,0.05007055198371969,0.11169880065056566,0.14365409446609995,0.5656645497739926,0.09981261711430335
8.357872045394601e-08,3373.7190598163993,302999.9999894055,0.01162950482772241,161.83664242028885,0.021995151259340786,0.05006860784490342,0.11169560514115763,0.14365494957329447,0.5656694138606594,0.09981261711430338,0.021995151259340786,0.05006860784490342,0.11169560514115763,0.14365494957329447,0.5656694138606594,0.09981261711430338
8.455454298045468e-08,3373.772400174156,302999.9999894051,0.011629631603595975,161.83487822161817,0.021994927437691564,0.0500668724446208,0.11169275260399514,0.14365571276540742,0.5656737559464174,0.09981261711430335,0.021994927437691564,0.0500668724446208,0.11169275260399514,0.14365571276540742,0.5656737559464174,0.09981261711430335
